NOM,GEN,Gradation (yes/no),Type (quantitative/qualitative),Affected consonant (k/t/p),Direction (direct/inverse)
g l ö g i,g l ö g i n,no,_,_,_
s p o n s o r o i n t i,s p o n s o r o i n n i n,yes,qualitative,t,direct
k o h t a l o,k o h t a l o n,no,_,_,_
t a p p o,t a p o n,yes,quantitative,p,direct
f i l m i,f i l m i n,no,_,_,_
p e s y e,p e s y e e n,no,_,_,_
s y k e,s y k k e e n,yes,quantitative,k,inverse
o p a s t e,o p a s t e e n,no,_,_,_
p i s t e,p i s t e e n,no,_,_,_
s e n i o r i,s e n i o r i n,no,_,_,_
m u o k k a u s,m u o k k a u k s e n,no,_,_,_
t u b e r k u l o o s i,t u b e r k u l o o s i n,no,_,_,_
k y s y n t ä,k y s y n n ä n,yes,qualitative,t,direct
l u u k k u,l u u k u n,yes,quantitative,k,direct
v i i h t y v y y s,v i i h t y v y y d e n,no,_,_,_
k e r t a,k e r r a n,yes,qualitative,t,direct
v i s a,v i s a n,no,_,_,_
e i n e s,e i n e k s e n,no,_,_,_
v e l k a a n t u m i n e n,v e l k a a n t u m i s e n,no,_,_,_
p u o l a,p u o l a n,no,_,_,_
k a h n a u s,k a h n a u k s e n,no,_,_,_
l i s ä ä m i n e n,l i s ä ä m i s e n,no,_,_,_
m a k k a r a,m a k k a r a n,no,_,_,_
p r i k a a t i,p r i k a a t i n,no,_,_,_
p u n n u s,p u n n u k s e n,no,_,_,_
s h a m a n i s m i,s h a m a n i s m i n,no,_,_,_
b e n s i i n i,b e n s i i n i n,no,_,_,_
a v a u s,a v a u k s e n,no,_,_,_
j o h d a n t o,j o h d a n n o n,yes,qualitative,t,direct
a r p i,a r v e n,yes,qualitative,p,direct
k u u s i k y m m e n t ä l u k u,k u u s i k y m m e n t ä l u v u n,yes,qualitative,k,direct
p a l a u t u s,p a l a u t u k s e n,no,_,_,_
t u p l a,t u p l a n,no,_,_,_
s a a p u m i n e n,s a a p u m i s e n,no,_,_,_
l i i k k u v u u s,l i i k k u v u u d e n,no,_,_,_
h u i j a r i,h u i j a r i n,no,_,_,_
l a u k a u s,l a u k a u k s e n,no,_,_,_
p u d o t u s,p u d o t u k s e n,no,_,_,_
k ö y h y y s,k ö y h y y d e n,no,_,_,_
v i s k a a m i n e n,v i s k a a m i s e n,no,_,_,_
l u e n t o,l u e n n o n,yes,qualitative,t,direct
n a a p u r u s t o,n a a p u r u s t o n,no,_,_,_
t i l k k a n e n,t i l k k a s e n,no,_,_,_
p o t e n s s i,p o t e n s s i n,no,_,_,_
t u l o s t u s,t u l o s t u k s e n,no,_,_,_
m e s t a r u u s,m e s t a r u u d e n,no,_,_,_
h a a r u k k a,h a a r u k a n,yes,quantitative,k,direct
h a a s t e,h a a s t e e n,no,_,_,_
v a r a u t u m i n e n,v a r a u t u m i s e n,no,_,_,_
k o r i,k o r i n,no,_,_,_
p e r i o d i,p e r i o d i n,no,_,_,_
y k s i k k ö,y k s i k ö n,yes,quantitative,k,direct
r i t a r i,r i t a r i n,no,_,_,_
k o n t t o r i,k o n t t o r i n,no,_,_,_
k i r i s t y s,k i r i s t y k s e n,no,_,_,_
m o n a r k k i,m o n a r k i n,yes,quantitative,k,direct
k u r s o r i,k u r s o r i n,no,_,_,_
k u v a,k u v a n,no,_,_,_
r y m i n ä,r y m i n ä n,no,_,_,_
e r k k e r i,e r k k e r i n,no,_,_,_
m i t t a,m i t a n,yes,quantitative,t,direct
t o i s t o,t o i s t o n,no,_,_,_
u n i,u n e n,no,_,_,_
a n k k u r i,a n k k u r i n,no,_,_,_
l e v i t t ä m i n e n,l e v i t t ä m i s e n,no,_,_,_
u l k o i s t a m i n e n,u l k o i s t a m i s e n,no,_,_,_
a u k t o r i t e e t t i,a u k t o r i t e e t i n,yes,quantitative,t,direct
t i i s t a i,t i i s t a i n,no,_,_,_
j a t s i,j a t s i n,no,_,_,_
k i v i t t ä m i n e n,k i v i t t ä m i s e n,no,_,_,_
a d r e s s i,a d r e s s i n,no,_,_,_
i d e n t i t e e t t i,i d e n t i t e e t i n,yes,quantitative,t,direct
g r a m o f o n i,g r a m o f o n i n,no,_,_,_
o o p i u m i,o o p i u m i n,no,_,_,_
s e i v ä s,s e i p ä ä n,yes,qualitative,p,inverse
t y h j i ö,t y h j i ö n,no,_,_,_
v e r s i o,v e r s i o n,no,_,_,_
t e o l l i s u u s,t e o l l i s u u d e n,no,_,_,_
v a l i n t a,v a l i n n a n,yes,qualitative,t,direct
m a n t r a,m a n t r a n,no,_,_,_
v i i v ä s t y m i n e n,v i i v ä s t y m i s e n,no,_,_,_
p u r i s t e l u,p u r i s t e l u n,no,_,_,_
s e u r a a j a,s e u r a a j a n,no,_,_,_
s i j a,s i j a n,no,_,_,_
y l i s t ä j ä,y l i s t ä j ä n,no,_,_,_
t ä r k e y s,t ä r k e y d e n,no,_,_,_
l e v o t t o m u u s,l e v o t t o m u u d e n,no,_,_,_
h u m a l a,h u m a l a n,no,_,_,_
o d o t e,o d o t t e e n,yes,quantitative,t,inverse
k a r t t u,k a r t u n,yes,quantitative,t,direct
r a h v a s,r a h v a a n,no,_,_,_
k o k k i,k o k i n,yes,quantitative,k,direct
o r a t o r i o,o r a t o r i o n,no,_,_,_
k ä r r y,k ä r r y n,no,_,_,_
m u o d o s t u m i n e n,m u o d o s t u m i s e n,no,_,_,_
y k s i l ö,y k s i l ö n,no,_,_,_
v i h r e ä,v i h r e ä n,no,_,_,_
k o h d e n t a m i n e n,k o h d e n t a m i s e n,no,_,_,_
t a a k k a,t a a k a n,yes,quantitative,k,direct
r e p e ä m ä,r e p e ä m ä n,no,_,_,_
j a k a u t u m i n e n,j a k a u t u m i s e n,no,_,_,_
s o u t a m i n e n,s o u t a m i s e n,no,_,_,_
t i l a a j a,t i l a a j a n,no,_,_,_
e t u u s,e t u u d e n,no,_,_,_
l ä h e i n e n,l ä h e i s e n,no,_,_,_
m u r h a,m u r h a n,no,_,_,_
s e r b i,s e r b i n,no,_,_,_
j y l h y y s,j y l h y y d e n,no,_,_,_
s u p p e u s,s u p p e u d e n,no,_,_,_
i l m e s t y m i n e n,i l m e s t y m i s e n,no,_,_,_
m y s s y,m y s s y n,no,_,_,_
k u l t a,k u l l a n,yes,qualitative,t,direct
k o i t o s,k o i t o k s e n,no,_,_,_
l a k e i n e n,l a k e i s e n,no,_,_,_
b r u t t o,b r u t o n,yes,quantitative,t,direct
s y n t a k s i,s y n t a k s i n,no,_,_,_
l a u l a j a,l a u l a j a n,no,_,_,_
p o r o,p o r o n,no,_,_,_
e t i k e t t i,e t i k e t i n,yes,quantitative,t,direct
a r a b i,a r a b i n,no,_,_,_
r e t k i,r e t k e n,no,_,_,_
n u r m i k k o,n u r m i k o n,yes,quantitative,k,direct
t o t e u t t a j a,t o t e u t t a j a n,no,_,_,_
s t a r t t i,s t a r t i n,yes,quantitative,t,direct
a s e n n u s,a s e n n u k s e n,no,_,_,_
k y l t t i,k y l t i n,yes,quantitative,t,direct
j u o v a,j u o v a n,no,_,_,_
l ä m p e n e m i n e n,l ä m p e n e m i s e n,no,_,_,_
t e h o s t e,t e h o s t e e n,no,_,_,_
h e l l e e n i,h e l l e e n i n,no,_,_,_
a l l e r g i a,a l l e r g i a n,no,_,_,_
j a t k u m i n e n,j a t k u m i s e n,no,_,_,_
j a l u s t a,j a l u s t a n,no,_,_,_
v a l m e n n u s,v a l m e n n u k s e n,no,_,_,_
u r h e i l i j a,u r h e i l i j a n,no,_,_,_
v a k u u t t a m i n e n,v a k u u t t a m i s e n,no,_,_,_
s t a t u s,s t a t u k s e n,no,_,_,_
t a i t e,t a i t t e e n,yes,quantitative,t,inverse
t a r k i s t i n,t a r k i s t i m e n,no,_,_,_
f o n e t i i k k a,f o n e t i i k a n,yes,quantitative,k,direct
k o p u t u s,k o p u t u k s e n,no,_,_,_
r u s a k k o,r u s a k o n,yes,quantitative,k,direct
t o l v a n a,t o l v a n a n,no,_,_,_
i t s e k u r i,i t s e k u r i n,no,_,_,_
p r o n s s i,p r o n s s i n,no,_,_,_
m e t r o,m e t r o n,no,_,_,_
s o s i a l i s t i,s o s i a l i s t i n,no,_,_,_
s e l o s t a j a,s e l o s t a j a n,no,_,_,_
h y v ä i l y,h y v ä i l y n,no,_,_,_
s u r i n a,s u r i n a n,no,_,_,_
m ö s s ö,m ö s s ö n,no,_,_,_
b r o i l e r i,b r o i l e r i n,no,_,_,_
p i d ä t y s,p i d ä t y k s e n,no,_,_,_
p e p p u,p e p u n,yes,quantitative,p,direct
p o r t t i,p o r t i n,yes,quantitative,t,direct
g e e n i,g e e n i n,no,_,_,_
v e l a l l i n e n,v e l a l l i s e n,no,_,_,_
p i i s p a,p i i s p a n,no,_,_,_
h a l k e a m a,h a l k e a m a n,no,_,_,_
t y h m y r i,t y h m y r i n,no,_,_,_
t u k i,t u e n,yes,qualitative,k,direct
n ö r t t i,n ö r t i n,yes,quantitative,t,direct
m e r k i n t ä,m e r k i n n ä n,yes,qualitative,t,direct
j o u r n a l i s t i,j o u r n a l i s t i n,no,_,_,_
p e i p p o n e n,p e i p p o s e n,no,_,_,_
v a l m i s t e l u,v a l m i s t e l u n,no,_,_,_
k o s t u k e,k o s t u k k e e n,yes,quantitative,k,inverse
k a m p a n j a,k a m p a n j a n,no,_,_,_
o t o s,o t o k s e n,no,_,_,_
t a v u,t a v u n,no,_,_,_
m i i n a,m i i n a n,no,_,_,_
p a t s a s,p a t s a a n,no,_,_,_
k o r i s t a j a,k o r i s t a j a n,no,_,_,_
s i e s t a,s i e s t a n,no,_,_,_
u r a,u r a n,no,_,_,_
k i v ä ä r i,k i v ä ä r i n,no,_,_,_
m ö r i n ä,m ö r i n ä n,no,_,_,_
v ä l i n p i t ä m ä t t ö m y y s,v ä l i n p i t ä m ä t t ö m y y d e n,no,_,_,_
h y l s y,h y l s y n,no,_,_,_
k a t s a u s,k a t s a u k s e n,no,_,_,_
e p i s o d i,e p i s o d i n,no,_,_,_
j e e s u s,j e e s u k s e n,no,_,_,_
h y v ä k s y n t ä,h y v ä k s y n n ä n,yes,qualitative,t,direct
s o l i s t i,s o l i s t i n,no,_,_,_
t u r i s m i,t u r i s m i n,no,_,_,_
p i p a r i,p i p a r i n,no,_,_,_
r e i t t i,r e i t i n,yes,quantitative,t,direct
t e r m i n o l o g i a,t e r m i n o l o g i a n,no,_,_,_
v a s a,v a s a n,no,_,_,_
j u o n i t t e l i j a,j u o n i t t e l i j a n,no,_,_,_
k a h v i o,k a h v i o n,no,_,_,_
j ä t t ä m i n e n,j ä t t ä m i s e n,no,_,_,_
p e r u s t a,p e r u s t a n,no,_,_,_
r e s e r v i l ä i n e n,r e s e r v i l ä i s e n,no,_,_,_
p o h d i s k e l u,p o h d i s k e l u n,no,_,_,_
k e h t o,k e h d o n,yes,qualitative,t,direct
t a k a v a r i k o i n t i,t a k a v a r i k o i n n i n,yes,qualitative,t,direct
p i n k k a,p i n k a n,yes,quantitative,k,direct
k i l o m e t r i,k i l o m e t r i n,no,_,_,_
k e r t o m u s,k e r t o m u k s e n,no,_,_,_
t e l e v i s i o,t e l e v i s i o n,no,_,_,_
o l e m a s s a o l o,o l e m a s s a o l o n,no,_,_,_
k a k s o n e n,k a k s o s e n,no,_,_,_
t u u l i,t u u l e n,no,_,_,_
h a r r a s t u s,h a r r a s t u k s e n,no,_,_,_
o k s a,o k s a n,no,_,_,_
j o h t a m i n e n,j o h t a m i s e n,no,_,_,_
e n s e m b l e,e n s e m b l e n,no,_,_,_
h u o l t o,h u o l l o n,yes,qualitative,t,direct
m a t e r i a a l i,m a t e r i a a l i n,no,_,_,_
s k a n d a a l i,s k a n d a a l i n,no,_,_,_
k a p r i s,k a p r i k s e n,no,_,_,_
k i n n a s,k i n t a a n,yes,qualitative,t,inverse
y k s i n k e r t a i s t a m i n e n,y k s i n k e r t a i s t a m i s e n,no,_,_,_
k o h t u u t t o m u u s,k o h t u u t t o m u u d e n,no,_,_,_
o p t i m i s t i,o p t i m i s t i n,no,_,_,_
a s s o s i a a t i o,a s s o s i a a t i o n,no,_,_,_
t u i v e r r u s,t u i v e r r u k s e n,no,_,_,_
p u s s i,p u s s i n,no,_,_,_
l i e k k i,l i e k i n,yes,quantitative,k,direct
s i t o u t u m i n e n,s i t o u t u m i s e n,no,_,_,_
r e t o r i i k k a,r e t o r i i k a n,yes,quantitative,k,direct
v ä h e n e m i n e n,v ä h e n e m i s e n,no,_,_,_
s o v e l l u t u s,s o v e l l u t u k s e n,no,_,_,_
o s a a j a,o s a a j a n,no,_,_,_
p a r t a,p a r r a n,yes,qualitative,t,direct
k a l e n t e r i,k a l e n t e r i n,no,_,_,_
m y r k k y,m y r k y n,yes,quantitative,k,direct
s y ö p ä,s y ö v ä n,yes,qualitative,p,direct
s a v u s t u s,s a v u s t u k s e n,no,_,_,_
r a v i t s e m u s,r a v i t s e m u k s e n,no,_,_,_
f l u o r i,f l u o r i n,no,_,_,_
l a m a,l a m a n,no,_,_,_
s i h a u s,s i h a u k s e n,no,_,_,_
t o i s t a m i n e n,t o i s t a m i s e n,no,_,_,_
l ä h i s t ö,l ä h i s t ö n,no,_,_,_
p r o f e s s u u r i,p r o f e s s u u r i n,no,_,_,_
k r o k o t i i l i,k r o k o t i i l i n,no,_,_,_
t o t e u t u s,t o t e u t u k s e n,no,_,_,_
j ä s e n,j ä s e n e n,no,_,_,_
p e d a g o g i,p e d a g o g i n,no,_,_,_
s e u r a,s e u r a n,no,_,_,_
p o i s h e i t t o,p o i s h e i t t o n,no,_,_,_
j o u k k i o,j o u k k i o n,no,_,_,_
h e i n ä,h e i n ä n,no,_,_,_
s e u r u s t e l u,s e u r u s t e l u n,no,_,_,_
l ä h e t y s,l ä h e t y k s e n,no,_,_,_
a p u l a i n e n,a p u l a i s e n,no,_,_,_
e l ä m i n e n,e l ä m i s e n,no,_,_,_
k a m p a u s,k a m p a u k s e n,no,_,_,_
s y r e e n i,s y r e e n i n,no,_,_,_
k l i n i k k a,k l i n i k a n,yes,quantitative,k,direct
n a f t a,n a f t a n,no,_,_,_
v a s t o i n k ä y m i n e n,v a s t o i n k ä y m i s e n,no,_,_,_
a s e,a s e e n,no,_,_,_
v ä h e n n y s,v ä h e n n y k s e n,no,_,_,_
p a n o s t u s,p a n o s t u k s e n,no,_,_,_
p u p i l l i,p u p i l l i n,no,_,_,_
k a u p u n g i s t u m i n e n,k a u p u n g i s t u m i s e n,no,_,_,_
s u o,s u o n,no,_,_,_
n ä y t t ä m ö,n ä y t t ä m ö n,no,_,_,_
y m p ä r i s t ö,y m p ä r i s t ö n,no,_,_,_
j u l k a i s e m i n e n,j u l k a i s e m i s e n,no,_,_,_
l o u h i n t a,l o u h i n n a n,yes,qualitative,t,direct
l a u s u n t o,l a u s u n n o n,yes,qualitative,t,direct
k o n s t a a p e l i,k o n s t a a p e l i n,no,_,_,_
a i k a a n s a a m i n e n,a i k a a n s a a m i s e n,no,_,_,_
a j o i t u s,a j o i t u k s e n,no,_,_,_
r i s t i,r i s t i n,no,_,_,_
t ö y h t ö,t ö y h d ö n,yes,qualitative,t,direct
p u o l i,p u o l e n,no,_,_,_
o n n i,o n n e n,no,_,_,_
s i u l a,s i u l a n,no,_,_,_
o l o,o l o n,no,_,_,_
m a a h a n s y ö k s y,m a a h a n s y ö k s y n,no,_,_,_
h u u m e,h u u m e e n,no,_,_,_
h u o n e,h u o n e e n,no,_,_,_
v y ö,v y ö n,no,_,_,_
h u m a n i s m i,h u m a n i s m i n,no,_,_,_
v a t j a,v a t j a n,no,_,_,_
p a l a u t t a m i n e n,p a l a u t t a m i s e n,no,_,_,_
r e k k a,r e k a n,yes,quantitative,k,direct
t y ö p a i k k a,t y ö p a i k a n,yes,quantitative,k,direct
p i i s k a,p i i s k a n,no,_,_,_
p o m m i t u s,p o m m i t u k s e n,no,_,_,_
t a r v e,t a r p e e n,yes,qualitative,p,inverse
s a d o m a s o k i s m i,s a d o m a s o k i s m i n,no,_,_,_
j u l i s t u s,j u l i s t u k s e n,no,_,_,_
r a u t u,r a u d u n,yes,qualitative,t,direct
l e v i k k i,l e v i k i n,yes,quantitative,k,direct
r a n k a,r a n g a n,yes,qualitative,k,direct
i t s e h a l l i n t o,i t s e h a l l i n n o n,yes,qualitative,t,direct
p a a r m a,p a a r m a n,no,_,_,_
s a m m a l i k k o,s a m m a l i k o n,yes,quantitative,k,direct
j u o n i,j u o n e n,no,_,_,_
k u v i o,k u v i o n,no,_,_,_
l ä j ä,l ä j ä n,no,_,_,_
k u l j e t u s,k u l j e t u k s e n,no,_,_,_
k ä v e l i j ä,k ä v e l i j ä n,no,_,_,_
s a a p a s,s a a p p a a n,yes,quantitative,p,inverse
l a i t u r i,l a i t u r i n,no,_,_,_
k a r n e v a a l i,k a r n e v a a l i n,no,_,_,_
p u h a l l u s,p u h a l l u k s e n,no,_,_,_
l o i s t e,l o i s t e e n,no,_,_,_
k i i r e e l l i s y y s,k i i r e e l l i s y y d e n,no,_,_,_
h a a l a r i,h a a l a r i n,no,_,_,_
m e r k i t s e m i n e n,m e r k i t s e m i s e n,no,_,_,_
v e t u r i,v e t u r i n,no,_,_,_
m o n i m u o t o i s u u s,m o n i m u o t o i s u u d e n,no,_,_,_
h e n k ä y s,h e n k ä y k s e n,no,_,_,_
r i p a u s,r i p a u k s e n,no,_,_,_
a u d i t o r i o,a u d i t o r i o n,no,_,_,_
s a a s t u t t a m i n e n,s a a s t u t t a m i s e n,no,_,_,_
h a i k e u s,h a i k e u d e n,no,_,_,_
l a i t a,l a i d a n,yes,qualitative,t,direct
p r o s e n t t i,p r o s e n t i n,yes,quantitative,t,direct
v a l m i s t a j a,v a l m i s t a j a n,no,_,_,_
a n n i n,a n t i m e n,yes,qualitative,t,inverse
b l o g g a a m i n e n,b l o g g a a m i s e n,no,_,_,_
r e p u l l i n e n,r e p u l l i s e n,no,_,_,_
n o l o u s,n o l o u d e n,no,_,_,_
t i k k a,t i k a n,yes,quantitative,k,direct
p e r i a a t e,p e r i a a t t e e n,yes,quantitative,t,inverse
l ö y l y,l ö y l y n,no,_,_,_
y l e i s t y m i n e n,y l e i s t y m i s e n,no,_,_,_
k y l m ä,k y l m ä n,no,_,_,_
m o i t e,m o i t t e e n,yes,quantitative,t,inverse
h i m a,h i m a n,no,_,_,_
p r o j e k t i,p r o j e k t i n,no,_,_,_
p a l v e l i j a,p a l v e l i j a n,no,_,_,_
k o m m e n t a a t t o r i,k o m m e n t a a t t o r i n,no,_,_,_
p ö r s s i,p ö r s s i n,no,_,_,_
m u r t u m a,m u r t u m a n,no,_,_,_
l u o d e,l u o t e e n,yes,qualitative,t,inverse
k r i t i i k k i,k r i t i i k i n,yes,quantitative,k,direct
n ä p s ä y s,n ä p s ä y k s e n,no,_,_,_
v i e r a i l u,v i e r a i l u n,no,_,_,_
p e r s p e k t i i v i,p e r s p e k t i i v i n,no,_,_,_
o t t e l u,o t t e l u n,no,_,_,_
k a t s o m o,k a t s o m o n,no,_,_,_
s i i l i,s i i l i n,no,_,_,_
k e i h ä s,k e i h ä ä n,no,_,_,_
p a k k o,p a k o n,yes,quantitative,k,direct
v a k u u t t e l u,v a k u u t t e l u n,no,_,_,_
i s ä n n ö i t s i j ä,i s ä n n ö i t s i j ä n,no,_,_,_
s a t o,s a d o n,yes,qualitative,t,direct
p u s u,p u s u n,no,_,_,_
s y r j ä y t y m i n e n,s y r j ä y t y m i s e n,no,_,_,_
m u o d o t t o m u u s,m u o d o t t o m u u d e n,no,_,_,_
t y h m y y s,t y h m y y d e n,no,_,_,_
o s t e l u,o s t e l u n,no,_,_,_
u u d i s t u s,u u d i s t u k s e n,no,_,_,_
p a r i i s i l a i n e n,p a r i i s i l a i s e n,no,_,_,_
l i h a,l i h a n,no,_,_,_
k i r j o i t u s,k i r j o i t u k s e n,no,_,_,_
p r o v o k a a t i o,p r o v o k a a t i o n,no,_,_,_
o s a n o t t o,o s a n o t o n,yes,quantitative,t,direct
e r a k k o,e r a k o n,yes,quantitative,k,direct
v a l k o i n e n,v a l k o i s e n,no,_,_,_
a u t t a j a,a u t t a j a n,no,_,_,_
k u d o s,k u d o k s e n,no,_,_,_
o j a,o j a n,no,_,_,_
t e h t ä v ä,t e h t ä v ä n,no,_,_,_
p e d i a t r i a,p e d i a t r i a n,no,_,_,_
k a m a,k a m a n,no,_,_,_
m y r k y t y s,m y r k y t y k s e n,no,_,_,_
k o u r a,k o u r a n,no,_,_,_
t o p p i,t o p i n,yes,quantitative,p,direct
k i e l t ä y t y m i n e n,k i e l t ä y t y m i s e n,no,_,_,_
k u k i s t u m i n e n,k u k i s t u m i s e n,no,_,_,_
t i t t e l i,t i t t e l i n,no,_,_,_
v ä i s t ä m i n e n,v ä i s t ä m i s e n,no,_,_,_
k a s i,k a s i n,no,_,_,_
p u n t t i,p u n t i n,yes,quantitative,t,direct
t ä h d i s t ö,t ä h d i s t ö n,no,_,_,_
s y ö j ä,s y ö j ä n,no,_,_,_
g l o b a l i s o i t u m i n e n,g l o b a l i s o i t u m i s e n,no,_,_,_
s h e k k i,s h e k i n,yes,quantitative,k,direct
k a v e r i,k a v e r i n,no,_,_,_
s u k k a,s u k a n,yes,quantitative,k,direct
a v o l i i t t o,a v o l i i t o n,yes,quantitative,t,direct
k a k k o n e n,k a k k o s e n,no,_,_,_
s e l v i t y s,s e l v i t y k s e n,no,_,_,_
p a j u,p a j u n,no,_,_,_
p a k o l a i n e n,p a k o l a i s e n,no,_,_,_
r o u t a,r o u d a n,yes,qualitative,t,direct
b r ä n d i,b r ä n d i n,no,_,_,_
l e v i ä m i n e n,l e v i ä m i s e n,no,_,_,_
k u p a r i,k u p a r i n,no,_,_,_
k a t k e r u u s,k a t k e r u u d e n,no,_,_,_
t a n s s i j a,t a n s s i j a n,no,_,_,_
t u r i s t i,t u r i s t i n,no,_,_,_
t e o r i a,t e o r i a n,no,_,_,_
m a i n o n t a,m a i n o n n a n,yes,qualitative,t,direct
f a k t a,f a k t a n,no,_,_,_
b a a r i,b a a r i n,no,_,_,_
j ä ä h d y t i n,j ä ä h d y t t i m e n,yes,quantitative,t,inverse
p a p p e u s,p a p p e u d e n,no,_,_,_
h i r v i,h i r v e n,no,_,_,_
k o n t r o l l i,k o n t r o l l i n,no,_,_,_
k o r o t u s,k o r o t u k s e n,no,_,_,_
d i p l o m a a t t i,d i p l o m a a t i n,yes,quantitative,t,direct
o n n i t t e l u,o n n i t t e l u n,no,_,_,_
k e r t a u s,k e r t a u k s e n,no,_,_,_
p ö l y,p ö l y n,no,_,_,_
k o r o s t a m i n e n,k o r o s t a m i s e n,no,_,_,_
s u o j a u s,s u o j a u k s e n,no,_,_,_
k o i,k o i n,no,_,_,_
s y y t ö s,s y y t ö k s e n,no,_,_,_
v a s t a a j a,v a s t a a j a n,no,_,_,_
p s y k o l o g i,p s y k o l o g i n,no,_,_,_
v ä l i t y s,v ä l i t y k s e n,no,_,_,_
d o k u m e n t o i n t i,d o k u m e n t o i n n i n,yes,qualitative,t,direct
p i i l o,p i i l o n,no,_,_,_
t y r m ä y s,t y r m ä y k s e n,no,_,_,_
v a l l o n i,v a l l o n i n,no,_,_,_
e p ä o n n i s t u m i n e n,e p ä o n n i s t u m i s e n,no,_,_,_
t i r p p a,t i r p a n,yes,quantitative,p,direct
p o i n t t i,p o i n t i n,yes,quantitative,t,direct
i l m a u s,i l m a u k s e n,no,_,_,_
k o n g r e s s i,k o n g r e s s i n,no,_,_,_
o s a a m i n e n,o s a a m i s e n,no,_,_,_
v i i m a,v i i m a n,no,_,_,_
e k o n o m i,e k o n o m i n,no,_,_,_
l a u t a s e l l i n e n,l a u t a s e l l i s e n,no,_,_,_
k e s k e y t y m i n e n,k e s k e y t y m i s e n,no,_,_,_
k o h e n t a m i n e n,k o h e n t a m i s e n,no,_,_,_
r a i v o,r a i v o n,no,_,_,_
l a m p i,l a m m e n,yes,qualitative,p,direct
s u h d e,s u h t e e n,yes,qualitative,t,inverse
i d e o l o g i a,i d e o l o g i a n,no,_,_,_
p i s t o o l i,p i s t o o l i n,no,_,_,_
o i k e u t u s,o i k e u t u k s e n,no,_,_,_
t u n t e m a t o n,t u n t e m a t t o m a n,yes,quantitative,t,inverse
y m m ä r t ä m y s,y m m ä r t ä m y k s e n,no,_,_,_
m a r k e t t i,m a r k e t i n,yes,quantitative,t,direct
k i s s a,k i s s a n,no,_,_,_
g r a v i s,g r a v i k s e n,no,_,_,_
r e n k i,r e n g i n,yes,qualitative,k,direct
t a r m o k k u u s,t a r m o k k u u d e n,no,_,_,_
b y r o k r a t i a,b y r o k r a t i a n,no,_,_,_
s u o m a l a i n e n,s u o m a l a i s e n,no,_,_,_
a u t t a m i n e n,a u t t a m i s e n,no,_,_,_
k o n s e r v a t o r i o,k o n s e r v a t o r i o n,no,_,_,_
k o n s e p t i,k o n s e p t i n,no,_,_,_
s k i t s o f r e n i a,s k i t s o f r e n i a n,no,_,_,_
r a i t t i,r a i t i n,yes,quantitative,t,direct
m u r h a a m i n e n,m u r h a a m i s e n,no,_,_,_
m i l l i,m i l l i n,no,_,_,_
s e i t s e m ä n k y m p p i n e n,s e i t s e m ä n k y m p p i s e n,no,_,_,_
k ä r j i s t y m i n e n,k ä r j i s t y m i s e n,no,_,_,_
e r i s t y n e i s y y s,e r i s t y n e i s y y d e n,no,_,_,_
v i n k k i,v i n k i n,yes,quantitative,k,direct
o p t i m o i n t i,o p t i m o i n n i n,yes,qualitative,t,direct
f i l t t e r i,f i l t t e r i n,no,_,_,_
y s k ä i s y,y s k ä i s y n,no,_,_,_
k a r i s m a,k a r i s m a n,no,_,_,_
t u k e m i n e n,t u k e m i s e n,no,_,_,_
g a l a k s i,g a l a k s i n,no,_,_,_
t i i m a,t i i m a n,no,_,_,_
e t s i n t ä,e t s i n n ä n,yes,qualitative,t,direct
a n t a m i n e n,a n t a m i s e n,no,_,_,_
k a s v a t t a m i n e n,k a s v a t t a m i s e n,no,_,_,_
k u i s t i,k u i s t i n,no,_,_,_
t u t t u,t u t u n,yes,quantitative,t,direct
d i e e t t i,d i e e t i n,yes,quantitative,t,direct
k u o r o,k u o r o n,no,_,_,_
d i r e k t i i v i,d i r e k t i i v i n,no,_,_,_
a k t i v o i m i n e n,a k t i v o i m i s e n,no,_,_,_
k y s e l y,k y s e l y n,no,_,_,_
s y y,s y y n,no,_,_,_
s i i v u,s i i v u n,no,_,_,_
t r a u m a t o l o g i a,t r a u m a t o l o g i a n,no,_,_,_
k a n s l i a,k a n s l i a n,no,_,_,_
l a k k i,l a k i n,yes,quantitative,k,direct
p i l k k u,p i l k u n,yes,quantitative,k,direct
u s k o l l i s u u s,u s k o l l i s u u d e n,no,_,_,_
p i l v i,p i l v e n,no,_,_,_
h ä m y,h ä m y n,no,_,_,_
s i u n a u s,s i u n a u k s e n,no,_,_,_
l e h m ä,l e h m ä n,no,_,_,_
k e h u,k e h u n,no,_,_,_
k o n s u l t t i,k o n s u l t i n,yes,quantitative,t,direct
